ASSUMPTIONS DATABASE ANALYSIS
==============================
File: workspaces/nsa/config/assumptions.json
Schema version: assumptions_v1
Last updated: 2026-01-29T17:45:00 by claude
Generated: 2026-02-11

Precedence rule: These are DEFAULT assumptions when the policy is SILENT.
If the policy explicitly states coverage terms, POLICY WINS over these defaults.

================================================================================
1. PART NUMBERS (by_part_number)
================================================================================

#   | Part Number          | System                  | Component                  | Note
----|----------------------|-------------------------|----------------------------|------------------------------------------
9. System Name Inconsistency (keyword vs part number)
   - "cooling" (keyword) vs "cooling_system" (part number) - different names for same system
   - "drivetrain" (keyword) vs "axle_drive" (part number) for differential/driveshaft
   - "exhaust" (part) vs "exhaust_system" (part) - two names for exhaust

10. Duplicate/Overlapping Entries
    - Part "A176 350 31 00" appears TWICE with different component names:
      entry #81 (differential) and entry #159 (rear_differential) - possible JSON key conflict
    - "61LR148059" and "LR148059" may be the same part with/without prefix

11. Missing Fuel System Keywords
    - 2 part numbers for fuel_system but 0 keywords
    - Missing: kraftstoffpumpe, pompe a essence, benzinpumpe

12. No Four-Wheel-Drive Keywords
    - 2 part numbers for four_wd but 0 keywords
    - Missing: allrad, 4x4, transfert, verteilergetriebe

13. Infotainment
    - 1 part only, 0 keywords
    - This is a growing claim category that may need coverage

14. Engine Management
    - 1 part (Porsche ECU), 0 keywords
    - Missing: motorsteuerung, steuergeraet motor

AUTHORIZED PARTNERS NOTE:
- The "_eval_note" indicates all garages were added as authorized for testing
- In production, this list needs to be cleaned/validated against actual partner contracts
- Pattern matching is very broad (e.g., ".*Mini.*" would match "Mini Market")

RECOMMENDATIONS:
1. Add HVAC keywords (both DE and FR) - this is the most critical gap
2. Normalize system names: pick ONE canonical name per system and align parts + keywords
3. Add steering keywords (DE + FR)
4. Add cooling system keywords for thermostat, fan, hoses
5. Verify the duplicate "A176 350 31 00" key - JSON will silently use the last one
6. Add fuel_system and four_wd keywords
7. Review authorized partners list for production readiness
